word,translation_cs
aback,zaražený
abase,ponížit
abate,zmírnit
abbey,opatství
abbot,opat
abhor,nenávidět
abide,dodržet
abled,schopný
abode,příbytek
abort,přerušit
about,o
above,výše
abuse,zneužívání
abyss,propast
acorn,žalud
acrid,štiplavý
actor,herec
acute,akutní
adage,pořekadlo
adapt,přizpůsobit se
adept,adept
admin,admin
admit,přiznat
adobe,adobe
adopt,adoptovat
adore,zbožňovat
adorn,zdobit
adult,dospělý
affix,připevnit
afire,zapálit
afoot,pěšky
afoul,v rozporu
after,po
again,znovu
agape,agapé
agate,achát
agent,agent
agile,agilní
aging,stárnutí
aglow,zářit
agony,agónie
agora,agora
agree,souhlasit
ahead,dopředu
aider,pomocník
aisle,ulička
alarm,alarm
album,album
alert,upozornění
algae,řasy
alibi,alibi
alien,mimozemšťan
align,zarovnat
alike,podobně
alive,živý
allay,uklidnit
alley,alej
allot,přidělit
allow,dovolit
alloy,slitina
aloft,nahoře
alone,sám
along,spolu
aloof,rezervovaný
aloud,nahlas
alpha,alfa
altar,oltář
alter,změnit
amass,hromadit
amaze,ohromit
amber,jantarová
amble,amble
amend,upravit
amiss,špatně
amity,přátelství
among,mezi
ample,dostatek
amply,dostatečně
amuse,pobavit
angel,anděl
anger,hněv
angle,úhel
angry,naštvaný
angst,úzkost
anime,anime
ankle,kotník
annex,příloha
annoy,otravovat
annul,zrušit
anode,anoda
antic,antik
anvil,kovadlina
aorta,aorta
apart,od sebe
aphid,mšice
aping,aping
apnea,apnoe
apple,jablko
apply,uplatnit
apron,zástěra
aptly,trefně
arbor,altán
ardor,zápal
arena,aréna
argue,hádat se
arise,vzniknout
armor,brnění
aroma,aroma
arose,vznikl
array,pole
arrow,šipka
arson,žhářství
artsy,diletantský
ascot,ascot
ashen,popelavý
aside,stranou
askew,nakřivo
assay,test
asset,aktiva
atoll,atol
atone,odčinit
attic,podkroví
audio,audio
audit,audit
augur,augur
aunty,teta
avail,využít
avert,odvrátit
avian,ptačí
avoid,vyhnout se
await,čekat
awake,vzhůru
award,ocenění
aware,vědomý
awash,omýt se
awful,hrozné
awoke,se probudil
axial,axiální
axiom,axiom
axion,axion
azure,azurová
bacon,slanina
badge,odznak
badly,špatně
bagel,bagel
baggy,pytlovitý
baker,pekař
baler,lis na balíky
balmy,uklidňující
banal,banální
banjo,banjo
barge,člun
baron,baron
basal,bazální
basic,základní
basil,bazalka
basin,povodí
basis,základ
baste,baštit
batch,šarže
bathe,koupat se
baton,obušek
batty,batty
bawdy,oplzlý
bayou,bayou
beach,pláž
beady,korálkový
beard,vousy
beast,šelma
beech,buk
beefy,hovězí maso
befit,slušet
began,začal
begat,zplodil
beget,plodit
begin,začít
begun,začalo
being,bytí
belch,říhat
belie,belie
belle,belle
belly,břicho
below,níže
bench,lavice
beret,baret
berry,bobule
berth,kotviště
beset,sužovaný
betel,betel
bevel,zkosení
bezel,luneta
bible,bible
bicep,biceps
biddy,biddy
bigot,bigotní
bilge,stoku
billy,billy
binge,flám
bingo,bingo
biome,biom
birch,bříza
birth,narození
bison,bizon
bitty,bity
black,černá
blade,čepel
blame,obviňovat
bland,nevýrazný
blank,prázdné
blare,řvát
blast,výbuch
blaze,požár
bleak,bezútěšný
bleat,brečet
bleed,krvácet
bleep,pípat
blend,směs
bless,žehnat
blimp,vzducholoď
blind,slepý
blink,blikat
bliss,blaženost
blitz,blitz
bloat,nadýmání
block,blokovat
bloke,chlápek
blond,blondýna
blood,krev
bloom,kvést
blown,foukané
bluer,modřejší
bluff,blafovat
blunt,tupý
blurb,reklama
blurt,vyhrknout
blush,červenat se
board,deska
boast,chlubit se
bobby,bobby
boney,kostnatý
bongo,bongo
bonus,bonus
booby,hulvát
